Area,Item,Element,Year,Unit,Value
Honduras,"Flour, pulses",Export Value,1974,1000 US$,
Saint Lucia,Waxes vegetable,Import Value,1994,1000 US$,3.0
Solomon Islands,Milk Equivalent,Import Value,1991,1000 US$,845.0
Caribbean,Rye,Export Quantity,1970,tonnes,
Portugal,Lettuce and chicory,Export Quantity,1972,tonnes,0.0
Grenada,"Oil, boiled etc",Import Quantity,1979,tonnes,
Cyprus,"Meat, nes",Import Value,1962,1000 US$,0.0
Burundi,Fixed Vegetable Oils,Export Quantity,1998,tonnes,72.0
Bolivia (Plurinational State of),Tobacco products nes,Import Value,2009,1000 US$,2328.0
Namibia,Rapeseed,Import Quantity,2008,tonnes,
Oman,"Apricots, dry",Import Value,1968,1000 US$,
Japan,"Oil, olive residues",Import Quantity,1997,tonnes,26.0
Niue,Total Meat,Export Value,1980,1000 US$,0.0
Singapore,Mustard seed,Import Value,1971,1000 US$,
Kenya,"Meat, turkey",Export Quantity,1991,tonnes,
Slovakia,Meat Fresh+Ch+Frozen,Import Value,1999,1000 US$,24977.0
Poland,Ovine Meat,Export Value,1975,1000 US$,0.0
Qatar,"Anise, badian, fennel, coriander",Export Value,1973,1000 US$,
Germany,Quinces,Export Quantity,2005,tonnes,52.0
Tonga,"Meat, sheep",Import Value,1988,1000 US$,2343.0
Peru,Buckwheat,Export Value,2005,1000 US$,0.0
United States of America,"Hides, buffalo, wet salted",Import Quantity,1964,tonnes,0.0
Albania,"Chillies and peppers, dry",Import Quantity,1970,tonnes,
Polynesia,Cherries,Import Value,2011,1000 US$,436.0
Melanesia,"Chillies and peppers, dry",Import Quantity,1998,tonnes,10.0
Guatemala,Avocados,Export Quantity,1999,tonnes,6298.0
Oman,"Tangerines, mandarins, clementines, satsumas",Export Value,1990,1000 US$,0.0
Niger,Flax fibre raw,Export Value,2004,1000 US$,
Angola,Jute+Bast Fibres,Import Quantity,1984,tonnes,2800.0
Saint Lucia,"Whey, dry",Import Value,2012,1000 US$,4.0
"China, Hong Kong SAR",Mustard seed,Import Quantity,1974,tonnes,0.0
Bahrain,Sugar confectionery,Import Quantity,1969,tonnes,0.0
Namibia,Rice - total  (Rice milled equivalent),Export Quantity,1963,tonnes,
Samoa,Watermelons,Import Value,1975,1000 US$,
Singapore,"Skins, sheep, wet salted",Export Value,1980,1000 US$,38.0
Brazil,"Meat, pig",Export Quantity,2004,tonnes,135283.0
Trinidad and Tobago,Jute,Export Quantity,1979,tonnes,
Yemen,"Juice, grapefruit, concentrated",Export Quantity,1980,tonnes,
Ireland,"Cocoa, butter",Export Value,1991,1000 US$,895.0
USSR,"Tangerines, mandarins, clementines, satsumas",Import Quantity,1979,tonnes,47625.0
Poland,Artichokes,Export Quantity,2009,tonnes,0.0
Indonesia,Poppy seed,Import Value,1961,1000 US$,
Pakistan,Figs dried,Import Quantity,1989,tonnes,9.0
Paraguay,Watermelons,Export Value,1965,1000 US$,0.0
Norway,Garlic,Import Value,2004,1000 US$,2257.0
Slovenia,"Barley, pearled",Import Quantity,2001,tonnes,2.0
Ireland,"Feed and meal, gluten",Export Quantity,2006,tonnes,66778.0
Canada,Wine+Vermouth+Sim.,Import Value,1981,1000 US$,138771.0
Rwanda,"Mangoes, mangosteens, guavas",Import Quantity,2001,tonnes,
Venezuela (Bolivarian Republic of),Apples,Export Value,1985,1000 US$,0.0
Ethiopia,"Flour, pulses",Export Quantity,2001,tonnes,0.0
Mongolia,"Beans, dry",Import Value,1995,1000 US$,
Ecuador,Olives preserved,Export Quantity,1987,tonnes,
Niger,Meat Poultry Fresh,Import Quantity,1992,tonnes,75.0
Malawi,Fatty acids,Import Quantity,2011,tonnes,7073.0
Sudan (former),Crude materials,Import Value,1970,1000 US$,770.0
Croatia,Meat of Swine,Export Quantity,1997,tonnes,77.0
Afghanistan,Jute+Bast Fibres,Import Quantity,2012,tonnes,9818.0
Vanuatu,Mixes and doughs,Import Value,2013,1000 US$,101.0
Grenada,Oilseeds,Export Quantity,1976,tonnes,0.0
Saint Lucia,Mixes and doughs,Import Quantity,1975,tonnes,
Colombia,"Fructose and syrup, other",Export Value,1971,1000 US$,
Bahrain,Chick peas,Export Value,1979,1000 US$,0.0
Mauritius,"Cigars, cheroots",Export Value,2013,1000 US$,15.0
Angola,Ovine Meat,Export Value,1980,1000 US$,0.0
Nepal,Onions,Import Quantity,1982,tonnes,4832.0
Norway,"Coffee, substitutes containing coffee",Import Quantity,1970,tonnes,0.0
Sri Lanka,Beer of barley,Import Quantity,1968,tonnes,41.0
Greece,Bambara beans,Export Quantity,2010,tonnes,
Panama,Jute,Export Value,1961,1000 US$,0.0
Czechoslovakia,"Feed, vegetable products nes",Import Value,1965,1000 US$,0.0
Barbados,Mixes and doughs,Import Quantity,1998,tonnes,316.0
Caribbean,Straw husks,Export Quantity,1968,tonnes,
Guatemala,Sorghum,Import Quantity,1977,tonnes,14304.0
Dominica,"Sugar,Total (Raw Equiv.)",Import Quantity,2005,tonnes,3566.0
New Caledonia,Sugar confectionery,Export Quantity,1991,tonnes,0.0
Niger,Oilseed Cake Meal,Export Value,1970,1000 US$,695.0
Indonesia,Jute,Export Value,1966,1000 US$,0.0
Lithuania,"Cocoa, paste",Export Quantity,2012,tonnes,224.0
Senegal,"Meat, game",Import Value,1976,1000 US$,
Chile,Eggs in The Shell,Import Quantity,1988,tonnes,13.0
Russian Federation,"Flour, roots and tubers nes",Import Value,1997,1000 US$,
Colombia,"Hair, goat, coarse",Import Quantity,2006,tonnes,0.0
Ireland,"Pyrethrum, extraction",Import Quantity,1964,tonnes,0.0
El Salvador,"Eggs Liquid,Dried",Import Value,1994,1000 US$,5.0
Guyana,"Eggs, hen, in shell",Import Quantity,2002,tonnes,1202.0
Zambia,"Meat, pork",Import Value,2004,1000 US$,0.0
Czechoslovakia,Grapefruit (inc. pomelos),Export Value,1991,1000 US$,0.0
Uruguay,Crude Materials nes,Import Value,2000,1000 US$,14430.0
Jamaica,"Oil, rapeseed",Import Quantity,2013,tonnes,6.0
Costa Rica,"Meat, rabbit",Export Value,2010,1000 US$,0.0
Thailand,Molasses,Import Value,1998,1000 US$,9.0
Bangladesh,"Meat, pig",Import Value,1991,1000 US$,
Iran (Islamic Republic of),Bacon and ham,Import Quantity,2011,tonnes,0.0
Pakistan,"Coffee, green",Import Value,1978,1000 US$,202.0
Cameroon,Peaches and nectarines,Export Quantity,1962,tonnes,
Sri Lanka,Artichokes,Import Value,1966,1000 US$,
Switzerland,"Cake, palm kernel",Import Value,1965,1000 US$,
Fiji,"Juice, orange, concentrated",Import Value,2009,1000 US$,950.0
"China, Hong Kong SAR",Coffee Green+Roast,Export Quantity,2010,tonnes,1350.0
Democratic Republic of the Congo,"Cereals, breakfast",Import Value,2001,1000 US$,600.0
Republic of Korea,"Oil, coconut (copra)",Import Quantity,1991,tonnes,18939.0
New Caledonia,"Meat, sheep",Import Value,1972,1000 US$,0.0
Haiti,"Coffee, extracts",Import Value,2000,1000 US$,12.0
Grenada,Bacon and ham,Import Quantity,1962,tonnes,75.0
Congo,"Melons, other (inc.cantaloupes)",Import Value,1986,1000 US$,0.0
Melanesia,Vermouths & similar,Import Quantity,2000,tonnes,46.0
Fiji,Cereals and Preparations,Export Value,1990,1000 US$,5204.0
Melanesia,Pepper (piper spp.),Import Value,1962,1000 US$,20.0
Iran (Islamic Republic of),Kiwi fruit,Export Value,1978,1000 US$,
Bahrain,Olives,Export Value,1978,1000 US$,
Portugal,Lard,Import Value,1985,1000 US$,0.0
Canada,Total Meat,Import Value,1974,1000 US$,196161.0
Burkina Faso,"Oil, vegetable origin nes",Export Quantity,2002,tonnes,259.0
Malta,Potatoes,Import Value,1969,1000 US$,481.0
Nauru,"Cheese, whole cow milk",Import Quantity,2009,tonnes,0.0
Belgium,Gooseberries,Export Value,2002,1000 US$,0.0
Panama,"Tomatoes, paste",Import Value,2011,1000 US$,4562.0
Zimbabwe,Cinnamon (canella),Export Value,1963,1000 US$,
Yugoslav SFR,"Skins, sheep, with wool",Export Quantity,1987,tonnes,1038.0
Senegal,Vanilla,Import Value,2000,1000 US$,3.0
Polynesia,"Meat, beef, preparations",Import Quantity,1987,tonnes,2395.0
Peru,Bovine Meat,Export Quantity,2002,tonnes,7.0
Malaysia,Cucumbers and gherkins,Import Quantity,2011,tonnes,12662.0
Sierra Leone,Beer of barley,Import Quantity,1961,tonnes,5300.0
Netherlands,"Milk, products of natural constituents nes",Import Quantity,2001,tonnes,7459.0
Niger,Papayas,Import Quantity,2001,tonnes,23.0
Cameroon,Ginger,Export Quantity,1989,tonnes,
Republic of Korea,"Meat, duck",Import Value,2005,1000 US$,26.0
Papua New Guinea,Chocolate products nes,Import Quantity,1998,tonnes,180.0
United Arab Emirates,"Walnuts, with shell",Import Value,1997,1000 US$,0.0
Mali,"Juice, pineapple",Import Value,1994,1000 US$,15.0
Chile,Oilseed Cake Meal,Import Quantity,1997,tonnes,343048.0
Samoa,"Potatoes, frozen",Import Quantity,1983,tonnes,
Australia,Sugar and Honey,Export Value,2003,1000 US$,705644.0
Ecuador,Cotton waste,Export Quantity,1976,tonnes,0.0
Thailand,Sesame seed,Export Value,1967,1000 US$,832.0
Zambia,Fixed Vegetable Oils,Export Value,1979,1000 US$,0.0
Libya,"Onions, dry",Import Value,1999,1000 US$,390.0
United Republic of Tanzania,Animal fats,Import Quantity,1965,tonnes,419.0
Gabon,Flax fibre and tow,Import Value,1975,1000 US$,
Senegal,"Oil, boiled etc",Import Quantity,1969,tonnes,69.0
Estonia,"Olive Oil,Total",Import Value,2004,1000 US$,601.0
Finland,Pigmeat,Import Quantity,1998,tonnes,14570.0
Sri Lanka,Sugar Raw Centrifugal,Import Quantity,1961,tonnes,743.0
Bolivia (Plurinational State of),Pineapples canned,Export Quantity,1973,tonnes,0.0
Senegal,"Coconuts, desiccated",Import Value,2001,1000 US$,0.0
Australia,"Oil, essential nes",Export Value,1966,1000 US$,220.0
Netherlands,Cigarettes,Export Value,1986,1000 US$,621148.0
Costa Rica,"Meat, beef, preparations",Export Value,1991,1000 US$,865.0
Libya,"Hazelnuts, shelled",Import Value,1996,1000 US$,
Australia,"Juice, orange, single strength",Import Value,1989,1000 US$,33488.0
Japan,Vermouths & similar,Import Quantity,2011,tonnes,2613.0
Ireland,Cider etc,Export Value,1966,1000 US$,0.0
Jamaica,"Groundnuts, shelled",Import Value,1988,1000 US$,86.0
Japan,"Skins, calve, wet salted",Import Value,1999,1000 US$,16822.0
Romania,Flax Fib+Tow+W,Import Quantity,1975,tonnes,1404.0
Finland,Eggs in The Shell,Import Quantity,2005,tonnes,2.0
Morocco,Cotton linter,Import Quantity,1985,tonnes,0.0
Indonesia,Fatty substance residues,Export Quantity,2006,tonnes,0.0
Republic of Korea,"Hair, fine",Export Value,1987,1000 US$,3843.0
Viet Nam,Canned Meat nes,Import Quantity,1980,tonnes,1140.0
"China, Hong Kong SAR",Poultry Meat,Import Quantity,1981,tonnes,57914.0
Venezuela (Bolivarian Republic of),"Oil, rapeseed",Import Quantity,1986,tonnes,0.0
Solomon Islands,"Tangerines, mandarins, clementines, satsumas",Import Value,1985,1000 US$,
Cambodia,Tobacco,Export Quantity,1969,tonnes,749.0
Suriname,Pigmeat,Export Value,2010,1000 US$,40.0
Maldives,"Cocoa, powder & cake",Import Value,2005,1000 US$,18.0
Japan,"Fat, pigs",Import Value,1989,1000 US$,2023.0
Greece,Beeswax,Import Quantity,1994,tonnes,370.0
Uruguay,Cucumbers and gherkins,Export Quantity,1984,tonnes,0.0
Paraguay,Grease incl. lanolin wool,Import Quantity,1986,tonnes,9.0
Swaziland,"Skins, goat, wet salted",Import Value,1987,1000 US$,
Qatar,Barley,Export Value,1983,1000 US$,0.0
Chile,"Eggs, dried",Import Value,1974,1000 US$,26.0
France,"Pumpkins, squash and gourds",Export Value,2002,1000 US$,19229.0
Algeria,Rice - total  (Rice milled equivalent),Import Quantity,1964,tonnes,1950.0
Senegal,"Juice, pineapple",Import Value,1980,1000 US$,0.0
Mongolia,Tomatoes,Export Quantity,2012,tonnes,
USSR,Crude materials,Export Value,1962,1000 US$,23100.0
Hungary,Sugar refined,Import Quantity,1995,tonnes,1579.0
Saint Kitts and Nevis,"Juice, orange, single strength",Export Quantity,2001,tonnes,
Costa Rica,"Cake, linseed",Import Value,1971,1000 US$,
Algeria,Chestnut,Export Quantity,1978,tonnes,
Belarus,Poppy seed,Import Quantity,2009,tonnes,794.0
United States of America,Tobacco,Export Quantity,1971,tonnes,257540.0
Jordan,"Oil, sesame",Export Value,1999,1000 US$,0.0
Qatar,"Juice, orange, single strength",Export Quantity,1997,tonnes,
United Republic of Tanzania,"Feed, vegetable products nes",Import Value,1961,1000 US$,
Zambia,"Milk, whole fresh cow",Export Quantity,1965,tonnes,0.0
Viet Nam,Meat Prepared Pres,Import Quantity,2001,tonnes,2.0
El Salvador,Cigarettes,Import Value,1962,1000 US$,48.0
Cameroon,Grapefruit (inc. pomelos),Export Value,1963,1000 US$,0.0
Occupied Palestinian Territory,"Cocoa, beans",Export Value,1999,1000 US$,
Italy,"Cocoa, powder & cake",Export Quantity,1990,tonnes,4095.0
Netherlands,"Coconuts, desiccated",Export Quantity,1972,tonnes,101.0
Argentina,Rubber natural dry,Import Quantity,1975,tonnes,19689.0
Mozambique,Sugar Raw Centrifugal,Import Quantity,1974,tonnes,
Ghana,Meat Fresh+Ch+Frozen,Import Value,1966,1000 US$,837.0
Sweden,Pulses,Export Value,2010,1000 US$,7206.0
Mali,Rape+Mustard Seed,Import Value,2007,1000 US$,1.0
Syrian Arab Republic,Tea,Import Quantity,1983,tonnes,21442.0
Mauritania,Maté,Import Value,1979,1000 US$,0.0
Norway,"Eggs, liquid",Import Quantity,2003,tonnes,77.0
Occupied Palestinian Territory,Ice cream and edible ice,Export Value,1992,1000 US$,
Qatar,Sugar Raw Centrifugal,Import Value,1982,1000 US$,
Guyana,Mustard seed,Import Quantity,1974,tonnes,7.0
Burkina Faso,"Oil, soybean",Export Quantity,1993,tonnes,
Democratic People's Republic of Korea,"Oil, rapeseed",Import Quantity,2004,tonnes,63.0
Albania,Rice - total  (Rice milled equivalent),Import Value,2002,1000 US$,5940.0
Germany,"Cherries, sour",Export Quantity,1986,tonnes,0.0
Qatar,"Skins, sheep, dry salted",Import Quantity,1976,tonnes,
Bahamas,"Coffee, substitutes containing coffee",Import Quantity,1977,tonnes,40.0
Jamaica,Molasses,Import Value,1995,1000 US$,2550.0
India,"Whey, dry",Import Quantity,1988,tonnes,0.0
Luxembourg,"Skins, goat, wet salted",Export Value,2008,1000 US$,0.0
Netherlands,Oats rolled,Import Value,2004,1000 US$,5183.0
Niger,Milk Condensed + Evaporated,Export Quantity,1970,tonnes,0.0
Bulgaria,Lettuce and chicory,Import Value,2010,1000 US$,611.0
Namibia,Pepper (piper spp.),Import Quantity,1971,tonnes,
Gambia,"Flour, wheat",Export Quantity,2010,tonnes,27.0
Ecuador,Sugar refined,Import Value,2006,1000 US$,4509.0
Thailand,Milk Equivalent,Import Value,1966,1000 US$,23489.0
Canada,Tobacco,Import Value,1973,1000 US$,17042.0
Lebanon,"Broad beans, horse beans, dry",Export Quantity,1983,tonnes,0.0
Jamaica,"Rubber, natural",Export Quantity,1965,tonnes,
Philippines,Rapeseed,Import Quantity,2009,tonnes,300.0
Ireland,"Cake, rapeseed",Export Quantity,1972,tonnes,0.0
Italy,"Eggs, hen, in shell",Import Value,2008,1000 US$,41845.0
Burundi,Kiwi fruit,Export Quantity,1962,tonnes,
Cabo Verde,Wine+Vermouth+Sim.,Import Quantity,2010,tonnes,5593.0
Serbia and Montenegro,"Meat, chicken, canned",Export Value,2001,1000 US$,377.0
Jamaica,"Oil, vegetable origin nes",Import Quantity,1983,tonnes,691.0
Ecuador,Sugar Raw Centrifugal,Export Value,2012,1000 US$,11056.0
Cuba,Butter,Import Quantity,1987,tonnes,17000.0
Iraq,Infant food,Import Value,1969,1000 US$,31.0
Thailand,Waxes vegetable,Export Quantity,1986,tonnes,0.0
French Polynesia,"Sugar, nes",Export Quantity,2001,tonnes,0.0
Sudan (former),"Coffee, substitutes containing coffee",Import Quantity,2007,tonnes,0.0
Timor-Leste,"Beans, dry",Import Value,1968,1000 US$,5.0
Guatemala,"Feed, vegetable products nes",Export Quantity,2013,tonnes,181.0
Bahamas,"Pyrethrum, dried",Import Value,2004,1000 US$,0.0
The former Yugoslav Republic of Macedonia,Maté,Export Quantity,2011,tonnes,0.0
"China, Hong Kong SAR",Wheat,Export Value,1970,1000 US$,655.0
Netherlands,"Skins, goat, wet salted",Export Quantity,1989,tonnes,
Polynesia,Cider etc,Import Quantity,1965,tonnes,3.0
Dominican Republic,Cider etc,Import Value,2011,1000 US$,917.0
Canada,Other Meat,Import Value,1988,1000 US$,6618.0
Luxembourg,"Tomatoes, peeled",Export Value,2004,1000 US$,97.0
Peru,"Oil, olive residues",Import Value,1977,1000 US$,
Mauritius,Animal Oil+Fat+Grs,Import Quantity,1964,tonnes,0.0
Australia,Currants,Import Value,1980,1000 US$,
Kuwait,Dates,Import Value,2012,1000 US$,308.0
India,"Tomatoes, peeled",Export Value,1962,1000 US$,0.0
Romania,"Cocoa, butter",Import Quantity,1966,tonnes,0.0
Czechoslovakia,Beer of barley,Import Value,1981,1000 US$,0.0
Canada,"Meat, turkey",Import Value,1995,1000 US$,6623.0
Thailand,"Meat, turkey",Import Quantity,1967,tonnes,0.0
Ukraine,"Tea, mate extracts",Import Quantity,2000,tonnes,15.0
Czechoslovakia,"Coffee, extracts",Import Value,1985,1000 US$,3162.0
Burkina Faso,Millet,Import Value,1981,1000 US$,0.0
Morocco,Sweet corn frozen,Export Quantity,2008,tonnes,1748.0
Occupied Palestinian Territory,Tobacco,Import Quantity,1991,tonnes,
Iran (Islamic Republic of),Pigmeat,Import Quantity,2001,tonnes,0.0
United States of America,Rape+Mustard Seed,Export Value,1964,1000 US$,5.0
New Zealand,Silk raw,Import Quantity,1985,tonnes,0.0
Bulgaria,Bananas,Export Quantity,1984,tonnes,
Israel,Cassava Equivalent,Import Value,1989,1000 US$,13901.0
Norway,Maple sugar and syrups,Export Quantity,2001,tonnes,0.0
Kyrgyzstan,"Yoghurt, concentrated or not",Export Quantity,2002,tonnes,267.0
Paraguay,Meat Poultry Fresh,Import Value,2004,1000 US$,83.0
China,"Dregs from brewing, distillation",Import Quantity,1997,tonnes,5823.0
Malawi,"Milk, skimmed cow",Import Value,1998,1000 US$,80.0
Congo,Milk Dry,Export Value,1975,1000 US$,0.0
Poland,"Oil, rapeseed",Export Quantity,2003,tonnes,725.0
Portugal,Avocados,Import Quantity,1964,tonnes,0.0
Saudi Arabia,"Oil, palm kernel",Export Quantity,1998,tonnes,0.0
Pakistan,"Cake, sesame seed",Import Value,2011,1000 US$,0.0
Ethiopia PDR,Pineapples,Import Quantity,1982,tonnes,0.0
China,"Meat, nes",Export Quantity,1989,tonnes,10196.0
Swaziland,Copra,Export Value,1961,1000 US$,
Netherlands,"Meat, game",Export Value,2009,1000 US$,53011.0
Finland,Rubber natural dry,Import Quantity,2002,tonnes,25886.0
Bangladesh,Oats rolled,Import Quantity,2000,tonnes,0.0
Kyrgyzstan,"Oil, castor beans",Import Quantity,1996,tonnes,
Cyprus,"Milk, whole evaporated",Export Quantity,1993,tonnes,6.0
Barbados,Tomatoes,Export Value,2011,1000 US$,2.0
Peru,Dairy Products+Eggs,Import Value,2008,1000 US$,128944.0
Cyprus,"Mushrooms, canned",Export Quantity,1967,tonnes,0.0
Nicaragua,Poultry Meat,Import Quantity,2002,tonnes,934.0
Iraq,"Tobacco, unmanufactured",Export Quantity,1996,tonnes,0.0
Côte d'Ivoire,Spinach,Import Quantity,2005,tonnes,9.0
Bolivia (Plurinational State of),"Skins, sheep, with wool",Export Value,2011,1000 US$,125.0
United Kingdom,"Anise, badian, fennel, coriander",Export Value,1967,1000 US$,36.0
Bulgaria,"Fructose and syrup, other",Import Quantity,1969,tonnes,0.0
Viet Nam,Groundnuts Total Shelled,Import Value,1972,1000 US$,1148.0
Jamaica,Milk Dry,Export Quantity,1994,tonnes,17.0
Somalia,"Butter, cow milk",Import Value,1990,1000 US$,400.0
Aruba,Meat Sheep Fresh,Export Quantity,1991,tonnes,
Czechoslovakia,Textile Fibres,Export Value,1974,1000 US$,1873.0
Namibia,Sugar Raw Centrifugal,Export Quantity,1969,tonnes,
Cameroon,Almonds shelled,Export Quantity,1962,tonnes,
Jamaica,"Milk, skimmed cow",Export Quantity,1968,tonnes,
United Kingdom,"Cake, soybeans",Export Value,2006,1000 US$,25337.0
Ireland,"Feed and meal, gluten",Export Quantity,1977,tonnes,0.0
Turkey,"Nuts, nes",Import Quantity,1965,tonnes,0.0
Vanuatu,Total Meat,Export Value,1962,1000 US$,0.0
Dominican Republic,"Olive Oil,Total",Import Value,2003,1000 US$,3977.0
Colombia,Strawberries,Import Quantity,1978,tonnes,0.0
Bangladesh,Cloves,Export Quantity,2007,tonnes,47.0
Spain,"Coffee, roasted",Import Quantity,1982,tonnes,201.0
Pakistan,Jute+Bast Fibres,Import Value,1975,1000 US$,15808.0
Bhutan,"Honey, natural",Import Quantity,1992,tonnes,
Uruguay,"Offals, pigs, edible",Export Quantity,1992,tonnes,
Ecuador,Sweet corn prep or preserved,Import Value,1997,1000 US$,306.0
Cambodia,Watermelons,Import Value,1977,1000 US$,
Malta,Bananas,Export Value,2001,1000 US$,2.0
Ethiopia,Chestnut,Import Value,2007,1000 US$,
Tunisia,"Juice, orange, single strength",Export Value,1972,1000 US$,
Argentina,"Flour, mustard",Export Quantity,1998,tonnes,543.0
Saudi Arabia,"Milk, whole fresh cow",Import Quantity,1993,tonnes,2019.0
Kuwait,"Beans, dry",Export Value,2006,1000 US$,18.0
Nicaragua,Grapefruit (inc. pomelos),Export Quantity,1965,tonnes,
Peru,Mushrooms and truffles,Import Value,2006,1000 US$,0.0
Aruba,Cassava Equivalent,Export Value,1982,1000 US$,
Mozambique,Meat of Swine,Import Value,1980,1000 US$,0.0
Guam,"Meat, pig sausages",Export Quantity,1968,tonnes,0.0
Germany,Barley,Import Quantity,2012,tonnes,1408889.0
Polynesia,"Meat, pig sausages",Export Value,1992,1000 US$,0.0
Dominican Republic,"Peas, green",Export Value,2002,1000 US$,
Singapore,Total Meat,Import Value,1973,1000 US$,30381.0
Tunisia,"Offals, liver duck",Import Quantity,1978,tonnes,
Argentina,"Oil, essential nes",Import Value,1992,1000 US$,5641.0
Libya,Peanut butter,Import Value,1979,1000 US$,
